flight_id,origin,destination,seats_total,seats_sold,avg_price,revenue,passenger_id,gender,age,country,frequent_flyer,tier,booking_id,passenger_id,flight_id,price,class,status,cancel_id,booking_id,reason,refund,passenger_id,points,flights_count,booking_date,Departure_Time,cancellation_date,season
29,TLV,LON,279,192,501,96192,29,M,61,UK,1,,29,5025,3117,885,Business,Completed,29,11183,Technical,343,29,42842,15,28/04/2025,14:16:00,,Spring
30,TLV,ROM,164,142,431,61202,30,F,55,USA,0,,30,6692,2561,1470,Business,Cancelled,30,5515,Technical,223,30,13775,12,16/06/2024,07:54:00,,Summer
31,TLV,IST,207,98,344,33712,31,M,59,France,1,,31,2086,1627,668,Business,Cancelled,31,1567,Weather,175,31,98774,16,28/03/2024,18:02:00,,Spring
32,TLV,ROM,256,181,466,84346,32,M,57,UK,0,,32,1584,1689,317,Business,Completed,32,1976,Security,609,32,84564,26,09/12/2025,08:30:00,,Winter
33,TLV,LON,255,185,488,90280,33,F,51,Israel,0,,33,7934,3394,229,Economy,Completed,33,11491,Customer,214,33,58994,22,16/12/2025,11:39:00,,Winter
34,TLV,PAR,245,163,521,84923,34,F,46,Israel,0,,34,6572,2711,927,Business,Completed,34,10293,Security,943,34,99036,5,17/08/2025,16:15:00,,Summer
35,TLV,IST,223,143,253,36179,35,M,47,France,1,,35,26,57,1233,Economy,Completed,35,17060,Technical,247,35,92857,18,15/08/2024,03:09:00,,Summer
36,TLV,LON,286,205,608,124640,36,M,71,France,1,,36,7472,2826,929,Economy,Completed,36,3677,Customer,474,36,82963,37,21/04/2024,15:57:00,,Spring
37,TLV,IST,280,161,233,37513,37,F,74,USA,0,,37,952,1080,666,Economy,Completed,37,12927,Weather,576,37,1694,18,23/06/2025,11:26:00,,Summer
38,TLV,NYC,252,197,1274,250978,38,F,37,Israel,0,,38,6123,3212,721,Economy,Completed,38,4742,Technical,906,38,50735,16,05/12/2024,15:57:00,,Winter
39,TLV,IST,210,129,269,34701,39,M,26,UK,0,,39,6334,3738,1084,Business,Completed,39,15362,Security,668,39,60111,35,14/05/2024,09:22:00,,Spring
40,TLV,NYC,231,196,1212,237552,40,M,37,UK,1,Gold,40,5368,3490,1174,Business,Completed,40,26217,Security,926,40,72508,11,29/12/2024,21:07:00,,Winter
41,TLV,IST,176,98,221,21658,41,F,50,Israel,1,Gold,41,6526,842,500,Business,Cancelled,41,20818,Security,162,41,60494,6,16/02/2024,13:51:00,,Winter
42,TLV,ROM,242,125,408,51000,42,M,21,USA,0,,42,3819,2241,445,Economy,Completed,42,16574,Customer,503,42,11880,40,02/11/2025,19:14:00,,Autumn
43,TLV,NYC,203,203,1239,251517,43,M,24,Israel,1,,43,787,839,1185,Economy,Completed,43,22991,Security,64,43,73828,39,26/07/2024,10:46:00,,Summer
44,TLV,NYC,287,145,1221,177045,44,F,69,Israel,0,,44,3577,2945,729,Economy,Completed,44,15790,Weather,625,44,40472,29,13/06/2025,00:20:00,,Summer
45,TLV,BKK,297,165,1022,168630,45,F,57,UK,0,,45,3898,1052,359,Business,Completed,45,23925,Technical,573,45,96621,40,19/08/2024,14:00:00,,Summer
46,TLV,ROM,251,107,385,41195,46,F,30,France,0,,46,6698,3510,776,Business,Completed,46,28525,Customer,519,46,72264,24,27/01/2025,02:46:00,,Winter
47,TLV,DXB,265,129,303,39087,47,M,47,France,0,,47,6960,2110,441,Economy,Completed,47,16103,Customer,908,47,36105,39,04/03/2025,21:37:00,,Spring
48,TLV,NYC,236,155,1154,178870,48,F,45,UK,0,,48,2870,62,853,Business,Cancelled,48,15295,Security,327,48,98261,0,23/06/2024,06:27:00,,Summer
49,TLV,LON,278,272,537,146064,49,M,19,France,1,,49,4634,1323,734,Economy,Completed,49,29884,Weather,746,49,58837,37,18/12/2025,10:00:00,,Winter
50,TLV,BKK,237,220,953,209660,50,M,73,USA,0,,50,2806,1638,781,Economy,Completed,50,22767,Security,646,50,22569,31,02/08/2025,05:15:00,,Summer
51,TLV,ROM,224,179,456,81624,51,F,46,France,0,,51,7010,1635,1261,Economy,Completed,51,16096,Security,230,51,98001,3,04/12/2025,00:13:00,,Winter
52,TLV,BKK,164,124,983,121892,52,M,51,Israel,0,,52,6284,108,1078,Economy,Completed,52,6028,Technical,534,52,67749,31,22/10/2025,04:01:00,,Autumn
53,TLV,PAR,201,146,536,78256,53,F,37,USA,1,,53,1094,3188,935,Business,Completed,53,21146,Technical,404,53,81326,19,21/04/2025,12:56:00,,Spring
54,TLV,PAR,266,107,534,57138,54,F,41,France,1,Gold,54,5799,2902,638,Business,Completed,54,4946,Weather,200,54,68922,12,18/11/2025,22:49:00,,Autumn
55,TLV,IST,265,264,274,72336,55,F,62,Israel,0,,55,4485,2604,616,Business,Completed,55,29702,Customer,332,55,84907,33,15/04/2024,09:24:00,,Spring
56,TLV,ROM,240,138,348,48024,56,M,64,UK,0,,56,801,409,283,Economy,Completed,56,11177,Customer,307,56,99438,0,28/06/2024,14:57:00,,Summer
57,TLV,PAR,293,197,570,112290,57,M,62,UK,1,Silver,57,593,3422,128,Economy,Completed,57,27079,Technical,175,57,66130,15,01/03/2024,22:43:00,,Spring
58,TLV,LON,264,181,537,97197,58,M,41,France,1,Gold,58,5982,2280,171,Economy,Completed,58,24436,Weather,955,58,43960,22,25/08/2024,01:31:00,,Summer
59,TLV,ROM,295,200,418,83600,59,M,26,Israel,0,,59,256,2048,885,Business,Completed,59,28683,Security,346,59,48118,32,18/10/2024,23:10:00,,Autumn
60,TLV,PAR,206,113,562,63506,60,M,70,France,0,,60,1373,183,751,Economy,Completed,60,8751,Technical,443,60,26919,15,31/07/2024,15:55:00,,Summer
61,TLV,NYC,214,129,1210,156090,61,F,66,USA,0,,61,7969,1735,464,Business,Completed,61,1167,Weather,861,61,59223,9,26/08/2025,08:28:00,,Summer
62,TLV,BKK,268,268,901,241468,62,M,40,Israel,1,Silver,62,5339,2072,436,Business,Cancelled,62,9660,Technical,266,62,11081,12,22/09/2024,12:55:00,,Autumn
63,TLV,DXB,289,211,336,70896,63,M,32,UK,0,,63,4589,945,794,Economy,Completed,63,22459,Security,648,63,25133,1,05/08/2024,00:34:00,,Summer
64,TLV,BKK,161,161,1040,167440,64,F,56,USA,0,,64,4950,150,1322,Business,No-show,64,13963,Security,840,64,27465,1,26/02/2025,03:25:00,,Winter
65,TLV,DXB,208,126,444,55944,65,M,65,USA,0,,65,482,2766,1226,Economy,Completed,65,24880,Weather,725,65,400,28,03/06/2024,18:24:00,,Summer
66,TLV,IST,204,111,312,34632,66,M,52,France,0,,66,5345,3343,1216,Economy,No-show,66,26055,Weather,703,66,75005,14,14/08/2025,23:31:00,,Summer
67,TLV,IST,250,180,210,37800,67,M,64,France,1,Silver,67,5066,2579,399,Business,Completed,67,2485,Customer,67,67,97816,9,05/04/2024,17:05:00,,Spring
68,TLV,ROM,274,162,451,73062,68,M,22,France,1,,68,2622,2981,405,Business,Completed,68,3251,Security,246,68,87268,11,26/12/2025,17:01:00,,Winter
69,TLV,ROM,217,146,428,62488,69,M,67,France,0,,69,7092,1089,859,Business,Completed,69,19311,Weather,108,69,60620,37,01/08/2025,23:33:00,,Summer
70,TLV,IST,270,210,300,63000,70,F,35,UK,1,Gold,70,1133,1348,814,Economy,Completed,70,21616,Security,693,70,42126,13,29/06/2024,09:25:00,,Summer
71,TLV,NYC,266,203,1156,234668,71,F,26,UK,0,,71,1478,3797,1460,Business,Completed,71,4140,Customer,647,71,1320,5,08/01/2024,18:49:00,,Winter
72,TLV,DXB,202,161,356,57316,72,M,29,Israel,1,,72,7447,209,1352,Economy,Completed,72,25461,Technical,288,72,18246,6,20/08/2025,11:42:00,,Summer
73,TLV,IST,188,146,222,32412,73,M,67,USA,0,,73,3110,3370,1310,Business,Completed,73,24935,Customer,666,73,27849,35,03/07/2025,06:41:00,,Summer
74,TLV,NYC,171,132,1243,164076,74,F,60,UK,0,,74,5392,3069,1464,Economy,Cancelled,74,5898,Technical,585,74,69592,27,13/07/2025,12:09:00,,Summer
75,TLV,ROM,224,90,474,42660,75,M,41,France,0,,75,7915,2677,1446,Economy,Completed,75,18756,Weather,235,75,1868,28,01/08/2025,02:41:00,,Summer
76,TLV,BKK,277,202,893,180386,76,F,61,UK,0,,76,7117,903,1171,Business,Cancelled,76,9079,Technical,729,76,71865,29,05/04/2024,03:21:00,,Spring
77,TLV,NYC,185,123,1146,140958,77,M,30,France,0,,77,5517,3038,258,Business,Completed,77,23478,Security,541,77,35812,3,25/09/2024,16:35:00,,Autumn
78,TLV,NYC,185,99,1268,125532,78,F,43,Israel,0,,78,7911,2325,1271,Economy,Completed,78,26187,Technical,604,78,61802,22,05/05/2024,04:29:00,,Spring
79,TLV,LON,171,118,547,64546,79,M,23,Israel,0,,79,4486,1956,892,Economy,Completed,79,9547,Customer,257,79,61386,17,01/10/2025,13:35:00,,Autumn
80,TLV,LON,212,153,597,91341,80,F,57,UK,0,,80,7695,1690,866,Business,Completed,80,23113,Technical,111,80,8259,15,16/05/2025,21:34:00,,Spring
81,TLV,ROM,296,232,367,85144,81,F,50,Israel,1,,81,3910,1942,874,Business,Completed,81,23658,Technical,282,81,84915,12,27/08/2024,07:35:00,,Summer
82,TLV,BKK,275,275,893,245575,82,F,43,France,0,,82,6005,416,477,Economy,Cancelled,82,10239,Customer,370,82,58889,30,26/03/2024,21:15:00,,Spring
83,TLV,LON,221,220,517,113740,83,F,38,USA,1,,83,4101,577,1031,Economy,Completed,83,9798,Security,634,83,59621,2,18/08/2024,16:56:00,,Summer
84,TLV,DXB,218,101,376,37976,84,M,47,UK,0,,84,883,2761,744,Business,Completed,84,29534,Technical,98,84,54181,12,25/08/2024,04:55:00,,Summer
85,TLV,PAR,224,148,475,70300,85,F,48,France,0,,85,2950,2247,696,Business,Cancelled,85,2199,Customer,126,85,31603,8,13/07/2025,11:59:00,,Summer
86,TLV,IST,235,235,268,62980,86,F,52,France,0,,86,4,1249,1241,Economy,Completed,86,4217,Customer,185,86,7235,31,02/06/2025,05:37:00,,Summer
87,TLV,BKK,268,146,963,140598,87,M,47,UK,1,Gold,87,1457,2772,1226,Economy,No-show,87,10105,Technical,993,87,21676,0,17/10/2025,14:38:00,,Autumn
88,TLV,PAR,160,87,544,47328,88,M,29,USA,0,,88,6230,2933,1433,Business,No-show,88,7115,Customer,273,88,57840,13,19/12/2024,17:56:00,,Winter
89,TLV,LON,297,148,583,86284,89,F,62,USA,1,Gold,89,3558,671,490,Economy,Completed,89,11743,Customer,418,89,10827,40,10/05/2024,13:11:00,,Spring
90,TLV,NYC,299,219,1276,279444,90,F,26,USA,0,,90,6284,3842,162,Business,Completed,90,19573,Security,487,90,99076,16,06/07/2025,03:36:00,,Summer
91,TLV,DXB,236,129,419,54051,91,F,56,USA,1,Silver,91,6742,47,599,Economy,Completed,91,23834,Technical,228,91,80688,2,27/07/2025,12:43:00,,Summer
92,TLV,DXB,224,145,319,46255,92,F,40,France,1,Gold,92,5384,2637,914,Business,Cancelled,92,26318,Weather,509,92,4289,30,23/03/2025,03:07:00,,Spring
93,TLV,ROM,194,170,376,63920,93,F,71,USA,0,,93,1661,1718,1374,Business,Completed,93,8846,Weather,58,93,1968,12,31/07/2025,06:19:00,,Summer
94,TLV,IST,169,111,221,24531,94,M,28,Israel,0,,94,7624,2500,1204,Business,Completed,94,28620,Security,898,94,99507,7,29/12/2024,08:12:00,,Winter
95,TLV,PAR,289,159,579,92061,95,F,37,USA,0,,95,6172,915,476,Economy,Cancelled,95,16036,Customer,290,95,52795,5,31/01/2025,17:44:00,,Winter
96,TLV,NYC,241,241,1280,308480,96,F,40,UK,0,,96,5394,2871,672,Economy,Completed,96,9084,Weather,869,96,25821,7,26/11/2024,19:40:00,,Autumn
97,TLV,NYC,178,75,1264,94800,97,F,49,Israel,1,Gold,97,5175,430,257,Business,Cancelled,97,6247,Customer,885,97,86994,8,04/02/2024,00:14:00,,Winter
98,TLV,PAR,211,151,572,86372,98,F,67,USA,0,,98,2090,3692,276,Economy,Completed,98,28065,Technical,138,98,44103,35,28/04/2024,01:04:00,,Spring
99,TLV,IST,199,121,309,37389,99,M,63,UK,0,,99,3058,1918,602,Economy,Completed,99,22983,Customer,363,99,64921,6,12/02/2024,08:40:00,,Winter
100,TLV,ROM,213,127,464,58928,100,M,34,Israel,0,,100,6918,799,1365,Business,Cancelled,100,29610,Weather,129,100,21734,2,01/06/2025,22:47:00,,Summer
101,TLV,LON,228,172,608,104576,101,F,74,UK,0,,101,3633,3858,1383,Business,Completed,101,15081,Weather,577,101,69002,17,20/08/2024,19:12:00,,Summer
102,TLV,DXB,247,247,368,90896,102,F,23,Israel,0,,102,6946,387,795,Economy,Completed,102,28490,Technical,421,102,95869,34,12/01/2025,10:47:00,,Winter
103,TLV,LON,247,170,525,89250,103,M,27,UK,0,,103,511,172,691,Business,Completed,103,1517,Technical,472,103,21989,12,31/10/2025,18:06:00,,Autumn
104,TLV,NYC,294,234,1197,280098,104,F,68,UK,1,,104,3143,1409,1163,Business,Completed,104,16588,Technical,253,104,89616,5,22/07/2024,19:22:00,,Summer
105,TLV,ROM,201,108,355,38340,105,F,67,France,0,,105,4035,2654,291,Economy,Completed,105,19290,Technical,440,105,8354,25,02/11/2024,09:52:00,,Autumn
106,TLV,LON,280,212,582,123384,106,F,39,UK,1,,106,7806,2797,528,Business,No-show,106,8069,Customer,861,106,3548,30,25/07/2025,06:31:00,,Summer
107,TLV,ROM,166,83,373,30959,107,M,45,USA,1,Platinum,107,5932,1665,242,Economy,Completed,107,10625,Weather,552,107,10182,4,12/07/2024,06:58:00,,Summer
108,TLV,ROM,195,192,408,78336,108,M,18,Israel,0,,108,728,2378,273,Economy,Completed,108,9742,Customer,853,108,16367,32,07/04/2024,04:48:00,,Spring
109,TLV,BKK,164,65,896,58240,109,F,38,France,0,,109,4705,558,203,Economy,Completed,109,26282,Weather,542,109,2262,3,09/08/2024,06:18:00,,Summer
110,TLV,ROM,255,127,426,54102,110,F,44,France,0,,110,4659,2393,1469,Economy,Completed,110,28607,Security,418,110,39348,25,12/06/2024,03:50:00,,Summer
111,TLV,ROM,265,190,401,76190,111,F,68,UK,0,,111,482,1031,1002,Economy,No-show,111,24623,Technical,957,111,37714,6,29/11/2025,16:57:00,,Autumn
112,TLV,ROM,278,193,474,91482,112,F,59,UK,0,,112,6069,3229,112,Business,Cancelled,112,10942,Security,736,112,32986,16,17/08/2025,00:40:00,,Summer
113,TLV,IST,300,236,297,70092,113,M,71,France,0,,113,3832,2581,1320,Economy,Completed,113,2783,Weather,716,113,38143,27,29/05/2025,17:31:00,,Spring
114,TLV,NYC,228,114,1152,131328,114,F,51,UK,0,,114,2334,1811,795,Economy,Completed,114,5064,Weather,689,114,88146,9,07/10/2025,02:14:00,,Autumn
115,TLV,DXB,258,172,406,69832,115,M,56,UK,0,,115,6000,1504,814,Economy,Completed,115,19917,Weather,124,115,16607,4,15/08/2025,03:20:00,,Summer
116,TLV,IST,164,77,281,21637,116,F,51,USA,0,,116,4729,569,405,Business,Completed,116,3448,Weather,624,116,29028,8,23/06/2024,12:59:00,,Summer
117,TLV,BKK,191,94,1004,94376,117,M,37,USA,1,,117,2459,532,1036,Economy,Completed,117,11717,Security,981,117,71365,20,21/10/2025,15:29:00,,Autumn
118,TLV,DXB,207,157,357,56049,118,M,40,Israel,0,,118,1159,3805,1471,Economy,Completed,118,18589,Customer,185,118,32027,17,22/02/2025,17:36:00,,Winter
119,TLV,LON,267,171,489,83619,119,F,32,USA,0,,119,7607,3226,1364,Economy,No-show,119,4269,Customer,743,119,4479,26,17/08/2025,17:51:00,,Summer
120,TLV,NYC,282,159,1147,182373,120,M,71,Israel,1,,120,5610,2238,882,Economy,Completed,120,24210,Security,300,120,98791,15,23/10/2025,08:22:00,,Autumn
121,TLV,PAR,188,176,588,103488,121,M,41,France,1,Gold,121,6353,3048,1090,Business,Cancelled,121,22707,Technical,729,121,7290,8,21/08/2024,06:46:00,,Summer
122,TLV,ROM,235,143,354,50622,122,M,51,USA,0,,122,3934,2879,530,Economy,Completed,122,25721,Customer,893,122,70965,12,29/04/2024,13:24:00,,Spring
123,TLV,ROM,228,142,419,59498,123,F,38,UK,1,,123,7759,946,314,Economy,Completed,123,12938,Customer,820,123,65126,16,12/07/2024,01:38:00,,Summer
124,TLV,PAR,299,226,596,134696,124,M,22,UK,0,,124,7483,1598,802,Business,Cancelled,124,13374,Customer,607,124,92780,19,25/11/2024,11:23:00,,Autumn
125,TLV,ROM,210,166,449,74534,125,F,40,UK,0,,125,1122,6,814,Business,Completed,125,24312,Weather,272,125,93165,38,22/08/2025,12:05:00,,Summer
126,TLV,ROM,180,180,422,75960,126,M,30,France,0,,126,4227,846,166,Economy,Cancelled,126,776,Customer,191,126,64127,7,28/09/2025,16:00:00,,Autumn
127,TLV,PAR,292,190,581,110390,127,M,27,Israel,0,,127,7908,2410,1026,Business,Completed,127,25795,Weather,234,127,97208,13,10/01/2024,10:12:00,,Winter
128,TLV,BKK,233,172,890,153080,128,F,71,USA,1,,128,2336,1318,684,Business,Completed,128,9634,Weather,168,128,50274,36,14/01/2025,10:42:00,,Winter
129,TLV,BKK,266,207,1023,211761,129,F,62,USA,0,,129,1231,300,889,Business,Cancelled,129,23249,Security,331,129,14829,2,12/11/2024,17:08:00,,Autumn
130,TLV,LON,198,198,490,97020,130,F,37,USA,0,,130,6957,676,1366,Economy,Completed,130,128,Security,499,130,4834,0,09/07/2024,20:41:00,,Summer
131,TLV,IST,259,171,217,37107,131,M,30,UK,0,,131,228,1084,315,Economy,Cancelled,131,7966,Security,657,131,72756,8,11/05/2024,08:22:00,,Spring
132,TLV,ROM,174,109,361,39349,132,F,71,Israel,1,,132,203,2484,1208,Business,No-show,132,26472,Technical,277,132,6052,37,30/08/2024,12:46:00,,Summer
133,TLV,LON,209,173,591,102243,133,M,50,Israel,0,,133,3117,2459,310,Business,Completed,133,28459,Security,620,133,62046,26,06/12/2025,06:37:00,,Winter
134,TLV,BKK,208,164,988,162032,134,F,24,Israel,0,,134,7530,2920,600,Business,Completed,134,8745,Technical,55,134,24128,13,24/08/2024,14:30:00,,Summer
135,TLV,ROM,243,191,346,66086,135,F,52,USA,0,,135,4553,1426,653,Economy,Completed,135,18533,Security,707,135,43570,1,25/01/2025,13:14:00,,Winter
136,TLV,NYC,283,146,1214,177244,136,M,42,UK,0,,136,2805,3118,1035,Business,Completed,136,29128,Customer,438,136,37666,2,01/07/2025,06:32:00,,Summer
137,TLV,LON,264,216,532,114912,137,F,55,France,1,,137,2896,819,431,Business,Cancelled,137,23548,Technical,871,137,4709,24,01/10/2024,03:26:00,,Autumn
138,TLV,IST,189,127,290,36830,138,F,46,France,1,,138,2902,2923,1265,Business,Completed,138,9592,Security,590,138,5457,21,19/12/2025,17:18:00,,Winter
139,TLV,BKK,278,171,943,161253,139,F,58,USA,0,,139,3081,280,1301,Business,Completed,139,7897,Customer,375,139,72308,14,15/12/2025,14:51:00,,Winter
140,TLV,DXB,194,169,387,65403,140,M,53,France,0,,140,2711,1636,436,Business,Completed,140,4560,Customer,84,140,60865,2,23/07/2024,14:23:00,,Summer
141,TLV,LON,268,147,537,78939,141,M,50,Israel,1,Gold,141,7077,936,298,Business,Completed,141,219,Weather,302,141,74446,5,30/12/2024,12:22:00,,Winter
142,TLV,DXB,245,135,436,58860,142,M,31,France,0,,142,1450,2959,574,Economy,Cancelled,142,27338,Technical,432,142,1640,21,14/08/2024,21:04:00,,Summer
143,TLV,DXB,290,290,426,123540,143,M,51,USA,1,Gold,143,239,3458,1496,Economy,Completed,143,14024,Security,698,143,27218,8,07/08/2024,09:23:00,,Summer
144,TLV,LON,222,129,487,62823,144,M,65,UK,0,,144,5830,1274,580,Business,No-show,144,24034,Technical,528,144,68909,12,19/02/2024,17:00:00,,Winter
145,TLV,BKK,242,170,987,167790,145,F,50,France,0,,145,7580,1029,1277,Economy,Completed,145,7872,Security,492,145,14478,34,29/04/2025,01:35:00,,Spring
146,TLV,PAR,204,101,518,52318,146,M,35,France,0,,146,6555,1741,677,Business,Completed,146,22173,Customer,566,146,16878,3,04/01/2025,08:04:00,,Winter
147,TLV,LON,215,215,596,128140,147,F,24,Israel,0,,147,3759,3613,1428,Business,Completed,147,14661,Weather,207,147,3666,25,10/03/2024,23:50:00,,Spring
148,TLV,PAR,285,186,498,92628,148,F,42,USA,1,Gold,148,4905,375,210,Business,Completed,148,9807,Weather,117,148,53376,32,04/08/2024,03:50:00,,Summer
149,TLV,LON,221,137,589,80693,149,F,42,USA,0,,149,83,1675,1009,Economy,No-show,149,26982,Customer,332,149,34996,37,31/10/2025,12:28:00,,Autumn
150,TLV,DXB,257,167,349,58283,150,M,52,USA,0,,150,2094,1148,613,Economy,Completed,150,1966,Technical,312,150,64371,36,17/07/2024,19:54:00,,Summer
151,TLV,BKK,245,245,945,231525,151,M,27,France,0,,151,7811,2405,772,Economy,Cancelled,151,27404,Security,623,151,74131,34,05/06/2024,09:00:00,,Summer
152,TLV,PAR,219,118,450,53100,152,M,32,UK,1,Gold,152,2438,2517,755,Economy,Completed,152,17760,Customer,749,152,60646,21,27/12/2024,17:39:00,,Winter
153,TLV,ROM,164,91,440,40040,153,M,51,USA,1,Gold,153,3796,1399,1393,Economy,Completed,153,21091,Weather,571,153,49567,32,25/12/2025,08:44:00,,Winter
154,TLV,PAR,275,268,512,137216,154,M,28,UK,0,,154,175,246,563,Business,Completed,154,10052,Weather,255,154,92954,25,18/07/2024,19:43:00,,Summer
155,TLV,IST,174,112,240,26880,155,M,48,USA,0,,155,6487,2544,572,Business,Completed,155,13626,Weather,431,155,83846,1,17/06/2025,21:06:00,,Summer
156,TLV,DXB,221,152,374,56848,156,F,70,UK,0,,156,4145,700,514,Economy,Completed,156,5766,Customer,884,156,17093,39,27/07/2025,18:29:00,,Summer
157,TLV,PAR,214,123,543,66789,157,F,69,France,1,Silver,157,880,1863,588,Business,Completed,157,25213,Technical,730,157,49981,5,16/07/2024,09:37:00,,Summer
158,TLV,BKK,208,90,946,85140,158,F,68,France,0,,158,3425,1848,792,Business,No-show,158,22836,Customer,140,158,20029,15,12/07/2025,11:21:00,,Summer
159,TLV,PAR,261,194,447,86718,159,F,30,France,0,,159,5531,3653,135,Economy,Completed,159,3694,Technical,851,159,98610,2,04/10/2024,09:16:00,,Autumn
160,TLV,ROM,231,231,446,103026,160,F,35,France,1,,160,4015,3727,565,Economy,Completed,160,15664,Security,321,160,97909,13,28/05/2025,16:52:00,,Spring
